   0.1 [sweep] 902-928 MHz, 200kHz steps, reporting anything > -95 dBm
   0.1 [sweep] station should read around -40 dBm at 30cm
   0.1 [DETECT] 902.000 MHz  rssi=-44.0 dBm
   0.1 [DETECT] 902.200 MHz  rssi=-93.0 dBm
   0.1 [DETECT] 902.400 MHz  rssi=-93.0 dBm
   0.3 [DETECT] 902.600 MHz  rssi=-93.0 dBm
   0.3 [DETECT] 902.800 MHz  rssi=-89.0 dBm
   0.3 [DETECT] 903.000 MHz  rssi=-92.5 dBm
   0.3 [DETECT] 903.200 MHz  rssi=-88.0 dBm
   0.3 [DETECT] 903.400 MHz  rssi=-84.0 dBm
   0.3 [DETECT] 903.600 MHz  rssi=-87.5 dBm
   0.3 [DETECT] 903.800 MHz  rssi=-90.0 dBm
   0.8 [DETECT] 904.000 MHz  rssi=-88.0 dBm
   0.8 [DETECT] 904.200 MHz  rssi=-88.5 dBm
   0.8 [DETECT] 904.400 MHz  rssi=-92.0 dBm
   0.8 [DETECT] 904.600 MHz  rssi=-94.0 dBm
   1.8 [DETECT] 911.201 MHz  rssi=-94.0 dBm
   1.8 [DETECT] 911.601 MHz  rssi=-94.5 dBm
   1.8 [DETECT] 911.801 MHz  rssi=-94.0 dBm
   1.8 [DETECT] 912.001 MHz  rssi=-91.0 dBm
   2.4 [DETECT] 914.801 MHz  rssi=-56.5 dBm
   4.1 [DETECT] 927.802 MHz  rssi=-92.5 dBm
   4.1 [sweep] pass 1 strongest=-44.0dBm @ 902.000MHz  detections=20
   4.1 [DETECT] 902.000 MHz  rssi=-87.0 dBm
   4.1 [DETECT] 902.200 MHz  rssi=-92.0 dBm
   4.1 [DETECT] 902.400 MHz  rssi=-94.5 dBm
   4.1 [DETECT] 902.800 MHz  rssi=-91.5 dBm
   4.3 [DETECT] 903.200 MHz  rssi=-88.5 dBm
   4.3 [DETECT] 903.400 MHz  rssi=-89.5 dBm
   4.3 [DETECT] 903.600 MHz  rssi=-89.0 dBm
   4.3 [DETECT] 903.800 MHz  rssi=-87.5 dBm
   4.3 [DETECT] 904.000 MHz  rssi=-91.5 dBm
   4.3 [DETECT] 904.200 MHz  rssi=-88.0 dBm
   4.8 [DETECT] 904.400 MHz  rssi=-91.0 dBm
   4.8 [DETECT] 904.600 MHz  rssi=-94.0 dBm
   4.8 [DETECT] 907.200 MHz  rssi=-63.5 dBm
   5.8 [DETECT] 911.401 MHz  rssi=-94.5 dBm
   5.8 [DETECT] 911.801 MHz  rssi=-94.5 dBm
   7.8 [DETECT] 925.401 MHz  rssi=-71.5 dBm
   7.8 [DETECT] 927.802 MHz  rssi=-92.5 dBm
   7.8 [sweep] pass 2 strongest=-63.5dBm @ 907.200MHz  detections=37
   8.1 [DETECT] 902.200 MHz  rssi=-92.5 dBm
   8.1 [DETECT] 902.600 MHz  rssi=-94.0 dBm
   8.1 [DETECT] 902.800 MHz  rssi=-94.5 dBm
   8.1 [DETECT] 903.000 MHz  rssi=-87.0 dBm
   8.1 [DETECT] 903.200 MHz  rssi=-90.0 dBm
   8.1 [DETECT] 903.400 MHz  rssi=-89.5 dBm
   8.6 [DETECT] 903.600 MHz  rssi=-88.0 dBm
   8.6 [DETECT] 903.800 MHz  rssi=-86.5 dBm
   8.6 [DETECT] 904.000 MHz  rssi=-86.5 dBm
   8.6 [DETECT] 904.200 MHz  rssi=-91.0 dBm
